match_id,date,venue,batting_team,opponent,innings,runs,balls,dismissed,century,fifty
903597,2015-10-18,Saurashtra Cricket Association Stadium,India,South Africa,2,77,103,True,False,True
903599,2015-10-22,"MA Chidambaram Stadium, Chepauk",India,South Africa,1,138,142,True,True,False
903601,2015-10-25,Wankhede Stadium,India,South Africa,2,7,7,True,False,False
895807,2016-01-12,Western Australia Cricket Association Ground,India,Australia,1,91,99,True,False,True
895809,2016-01-15,"Brisbane Cricket Ground, Woolloongabba",India,Australia,1,59,68,True,False,True
895811,2016-01-17,Melbourne Cricket Ground,India,Australia,1,117,119,True,True,False
895813,2016-01-20,Manuka Oval,India,Australia,2,106,95,True,True,False
895815,2016-01-23,Sydney Cricket Ground,India,Australia,2,8,13,True,False,False
1030219,2016-10-16,Himachal Pradesh Cricket Association Stadium,India,New Zealand,2,85,81,False,False,True
1030221,2016-10-20,Feroz Shah Kotla,India,New Zealand,2,9,13,True,False,False
1030223,2016-10-23,"Punjab Cricket Association Stadium, Mohali",India,New Zealand,2,154,135,False,True,False
1030225,2016-10-26,JSCA International Stadium Complex,India,New Zealand,2,45,51,True,False,False
1030227,2016-10-29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,New Zealand,1,65,76,True,False,True
1034819,2017-01-15,Maharashtra Cricket Association Stadium,India,England,2,122,106,True,True,False
1034821,2017-01-19,Barabati Stadium,India,England,1,8,5,True,False,False
1034823,2017-01-22,Eden Gardens,India,England,2,55,66,True,False,True
1022353,2017-06-04,Edgbaston,India,Pakistan,1,81,68,False,False,True
1022361,2017-06-08,Kennington Oval,India,Sri Lanka,1,0,5,True,False,False
1022367,2017-06-11,Kennington Oval,India,South Africa,2,76,102,False,False,True
1022373,2017-06-15,Edgbaston,India,Bangladesh,2,96,78,False,False,True
1022375,2017-06-18,Kennington Oval,India,Pakistan,2,5,9,True,False,False
1098206,2017-06-23,"Queen's Park Oval, Port of Spain",India,West Indies,1,32,47,False,False,False
1098207,2017-06-25,"Queen's Park Oval, Port of Spain",India,West Indies,1,87,67,True,False,True
1098208,2017-06-30,"Sir Vivian Richards Stadium, North Sound",India,West Indies,1,11,22,True,False,False
1098209,2017-07-02,"Sir Vivian Richards Stadium, North Sound",India,West Indies,2,3,12,True,False,False
1098210,2017-07-06,"Sabina Park, Kingston",India,West Indies,2,111,115,False,True,False
1109605,2017-08-20,Rangiri Dambulla International Stadium,India,Sri Lanka,2,82,70,False,False,True
1109606,2017-08-24,Pallekele International Cricket Stadium,India,Sri Lanka,2,4,2,True,False,False
1109607,2017-08-27,Pallekele International Cricket Stadium,India,Sri Lanka,2,3,12,True,False,False
1109608,2017-08-31,"R.Premadasa Stadium, Khettarama",India,Sri Lanka,1,131,98,True,True,False
1109609,2017-09-03,"R.Premadasa Stadium, Khettarama",India,Sri Lanka,2,110,118,False,True,False
1119496,2017-09-17,"MA Chidambaram Stadium, Chepauk",India,Australia,1,0,4,True,False,False
1119497,2017-09-21,Eden Gardens,India,Australia,1,92,109,True,False,True
1119498,2017-09-24,Holkar Cricket Stadium,India,Australia,2,28,35,True,False,False
1119499,2017-09-28,M.Chinnaswamy Stadium,India,Australia,2,21,21,True,False,False
1119500,2017-10-01,"Vidarbha Cricket Association Stadium, Jamtha",India,Australia,2,39,56,True,False,False
1120090,2017-10-22,Wankhede Stadium,India,New Zealand,1,121,129,True,True,False
1120091,2017-10-25,Maharashtra Cricket Association Stadium,India,New Zealand,2,29,29,True,False,False
1120092,2017-10-29,Green Park,India,New Zealand,1,113,108,True,True,False
1122279,2018-02-01,Kingsmead,India,South Africa,2,112,120,True,True,False
1122280,2018-02-04,SuperSport Park,India,South Africa,2,46,51,False,False,False
1122281,2018-02-07,Newlands,India,South Africa,1,160,165,False,True,False
1122282,2018-02-10,The Wanderers Stadium,India,South Africa,1,75,84,True,False,True
1122283,2018-02-13,St George's Park,India,South Africa,1,36,54,False,False,False
1122284,2018-02-16,SuperSport Park,India,South Africa,2,129,98,False,True,False
1119546,2018-07-12,Trent Bridge,India,England,2,75,83,True,False,True
1119547,2018-07-14,Lord's,India,England,2,45,58,True,False,False
1119548,2018-07-17,Headingley,India,England,1,71,72,True,False,True
1157754,2018-10-21,Barsapara Cricket Stadium,India,West Indies,2,140,108,True,True,False
1157755,2018-10-24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,1,157,131,False,True,False
1157756,2018-10-27,Maharashtra Cricket Association Stadium,India,West Indies,2,107,120,True,True,False
1157757,2018-10-29,Brabourne Stadium,India,West Indies,1,16,18,True,False,False
1157758,2018-11-01,Greenfield International Stadium,India,West Indies,2,33,30,False,False,False
1144997,2019-01-12,Sydney Cricket Ground,India,Australia,2,3,8,True,False,False
1144998,2019-01-15,Adelaide Oval,India,Australia,2,104,113,True,True,False
1144999,2019-01-18,Melbourne Cricket Ground,India,Australia,2,46,62,True,False,False
1153691,2019-01-23,McLean Park,India,New Zealand,2,45,59,True,False,False
1153692,2019-01-26,Bay Oval,India,New Zealand,1,43,45,True,False,False
1153693,2019-01-28,Bay Oval,India,New Zealand,2,60,74,True,False,True
1168242,2019-03-02,"Rajiv Gandhi International Stadium, Uppal",India,Australia,2,44,46,True,False,False
1168243,2019-03-05,"Vidarbha Cricket Association Stadium, Jamtha",India,Australia,1,116,122,True,True,False
1168244,2019-03-08,JSCA International Stadium Complex,India,Australia,2,123,96,True,True,False
1168245,2019-03-10,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Australia,1,7,6,True,False,False
1168246,2019-03-13,Arun Jaitley Stadium,India,Australia,2,20,22,True,False,False
